feature,importance
stem-width,0.115015242591095
stem-height,0.06864907610665993
stem-color_w,0.0582462426803591
cap-diameter,0.05135918791387219
gill-attachment_p,0.050515374502814035
gill-spacing_d,0.03949696465685035
ring-type_z,0.03318197923909823
stem-surface_s,0.032260455540282534
stem-root_b,0.024964478923142783
gill-color_w,0.02440066890413589
cap-surface_s,0.017911376276120862
cap-color_r,0.01669916312322073
gill-spacing_c,0.016620107384819234
gill-attachment_d,0.01652799286512894
does-bruise-or-bleed_f,0.016065934156238353
cap-surface_k,0.01566224900028297
cap-shape_c,0.015250968384210804
stem-root_s,0.013909723026348669
does-bruise-or-bleed_t,0.01386007558129812
stem-surface_g,0.013133680519072469
cap-color_e,0.013076022891937999
cap-color_n,0.013053183738670851
gill-color_p,0.012977191974245574
cap-surface_l,0.012781146999226724
stem-surface_t,0.012469594966695936
cap-surface_e,0.012192129519807558
cap-surface_g,0.012142508868724238
gill-attachment_x,0.01188999693491049
cap-surface_t,0.011749431610351817
habitat_m,0.010992450418566538
cap-shape_b,0.010648078439289187
has-ring_t,0.010415387406495379
cap-surface_i,0.009945977193842008
stem-color_p,0.009766804099255
gill-color_y,0.008846775702792043
gill-attachment_a,0.008509382141990198
cap-shape_x,0.008246264224937083
habitat_g,0.008083319294222083
has-ring_f,0.008063961811148306
gill-attachment_e,0.007687700952336199
gill-attachment_s,0.006705236462985853
gill-attachment_f,0.006495395310726626
gill-color_o,0.0060515574647291535
spore-print-color_w,0.005409304655487842
stem-surface_y,0.004997392450366543
stem-root_r,0.004845965264686089
spore-print-color_k,0.00484565682597452
cap-surface_d,0.004617115444028949
ring-type_r,0.004485448418779725
gill-color_r,0.004457438233476238
gill-color_f,0.004027592486238997
stem-color_y,0.004014923239360261
cap-surface_h,0.003969400330299422
cap-surface_y,0.003926891576535858
stem-color_g,0.00370086756244311
stem-color_n,0.0032318536275204746
cap-color_g,0.003192785719516988
gill-color_g,0.0030854015052024747
habitat_d,0.003024714619776705
season_w,0.00281788807066749
stem-color_e,0.0027138342554730577
ring-type_g,0.0025368902540155846
cap-shape_s,0.0024981880776516105
cap-color_l,0.0024643896417143327
cap-surface_w,0.002378564079687515
gill-color_n,0.002289139367742555
ring-type_f,0.0022764945837891004
stem-color_o,0.0021123121312319553
habitat_w,0.0020050845613770562
season_s,0.002004971219384457
cap-color_u,0.0017650643629667485
ring-type_e,0.0015977101538363092
stem-color_u,0.0015378314724145486
stem-root_c,0.0015327301318509771
stem-color_l,0.0014721416752988196
cap-shape_p,0.0013145578801756483
gill-color_e,0.0012412949301382357
ring-type_p,0.0012382168495559352
stem-surface_h,0.0011063309880059112
cap-color_y,0.0010996316146078932
cap-shape_f,0.000984927500175252
spore-print-color_g,0.0009284772461013623
cap-color_b,0.0007624701228035272
gill-spacing_f,0.0006199760149654258
habitat_l,0.0006004451232664346
gill-color_b,0.0005943058798366126
cap-color_w,0.0005576071267255652
cap-color_o,0.000507024674317125
veil-color_y,0.0004893041908485431
stem-color_r,0.0004236285427467716
stem-surface_i,0.000411978894703556
habitat_u,0.0001779942140528245
stem-color_k,8.534114618659498e-05
veil-color_u,8.476716955985819e-05
cap-color_p,7.005956684331873e-05
veil-color_n,6.840350127710266e-05
gill-color_u,6.706042085176064e-05
ring-type_l,6.587176051853188e-05
season_a,5.835030922164677e-05
spore-print-color_n,4.120562773975594e-05
cap-color_k,3.7668675050861746e-05
season_u,4.802521544823763e-06
cap-shape_o,1.8717064448596913e-06
habitat_h,0.0
stem-surface_f,0.0
habitat_p,0.0
stem-surface_k,0.0
gill-color_k,0.0
spore-print-color_r,0.0
stem-color_b,0.0
stem-color_f,0.0
spore-print-color_u,0.0
spore-print-color_p,0.0
veil-color_e,0.0
ring-type_m,0.0
veil-color_k,0.0
veil-color_w,0.0
stem-root_f,0.0
