feature,importance
stem-width,0.12714708146116968
gill-spacing_d,0.059596460030741864
stem-color_w,0.05501419374527642
stem-height,0.04728785863289978
gill-color_p,0.03424929516102395
does-bruise-or-bleed_t,0.03071172220762443
stem-surface_s,0.026707032876238646
gill-color_w,0.025982387032877925
gill-attachment_p,0.024724998384946205
stem-surface_g,0.023954979270551686
cap-surface_s,0.023767773206849484
ring-type_z,0.0235600063656414
cap-color_r,0.023303848412869536
stem-root_r,0.02287147786846986
cap-shape_c,0.02182296125833173
cap-diameter,0.021771559823063665
cap-surface_l,0.021689405510430894
cap-surface_e,0.01988842310975418
stem-root_c,0.01840833968308546
stem-root_b,0.01801493401699388
cap-surface_k,0.017603545680699096
gill-spacing_c,0.016020556689622798
stem-surface_t,0.015752159407620567
cap-surface_g,0.015241943031001796
gill-attachment_a,0.01451787109518432
cap-surface_t,0.013161856658949136
cap-color_e,0.012367933361273314
ring-type_f,0.01231436504159165
habitat_g,0.012279239041158328
gill-color_y,0.011676739681701744
gill-color_f,0.010853158242171942
gill-attachment_d,0.010472773095351315
gill-attachment_e,0.010159287933206704
cap-surface_h,0.008979810972785218
season_w,0.00896398744913469
season_u,0.008717617263836857
gill-color_o,0.0086787996371547
stem-color_o,0.008212915144477135
cap-shape_f,0.008204795804581092
stem-color_u,0.00818005370226539
cap-surface_d,0.008150981653102074
cap-color_y,0.007108773010344614
spore-print-color_k,0.0068852148242767785
ring-type_r,0.006831683783916107
stem-color_n,0.006110945006242958
cap-shape_s,0.005718277666516318
gill-color_e,0.005255440227116427
cap-surface_i,0.0051357833758466555
gill-attachment_s,0.005090149893706339
has-ring_f,0.004776628997817527
habitat_l,0.004598254942967514
gill-attachment_x,0.0045698754036869755
cap-color_u,0.003310956741404381
stem-surface_i,0.0031424220558777323
cap-color_w,0.0030937188906038178
cap-color_g,0.0026317938463501006
stem-color_b,0.0021951898312287566
ring-type_g,0.002133397405994857
cap-shape_b,0.0014980911498539058
gill-color_r,0.0014957917923688717
cap-shape_x,0.0013302391329964073
stem-surface_y,0.0009779009434776858
habitat_w,0.0008118548054001582
stem-color_r,0.0005626094743627356
spore-print-color_n,0.0005467174132568153
stem-color_e,0.0004907872550841261
season_a,0.000342031422645437
stem-color_l,0.00028343404133161006
cap-surface_y,0.0002821733757163636
cap-color_k,0.00028073547239786556
gill-attachment_f,0.0002602510102069296
cap-color_p,0.0001836516396627827
spore-print-color_p,0.00018363855458840387
habitat_m,0.0001303830674265598
gill-color_k,9.450645432523484e-05
stem-color_k,9.449963186761e-05
veil-color_n,9.442267200758091e-05
stem-color_y,9.441313334873705e-05
habitat_h,9.242642384171838e-05
gill-spacing_f,8.998057426518417e-05
cap-color_n,8.743051750463238e-05
gill-color_n,7.103729547251384e-05
cap-color_o,4.7358196981675894e-05
spore-print-color_w,0.0
spore-print-color_r,0.0
spore-print-color_u,0.0
habitat_d,0.0
habitat_p,0.0
season_s,0.0
spore-print-color_g,0.0
ring-type_l,0.0
habitat_u,0.0
ring-type_p,0.0
ring-type_m,0.0
does-bruise-or-bleed_f,0.0
cap-shape_o,0.0
stem-surface_k,0.0
gill-color_b,0.0
gill-color_g,0.0
cap-color_l,0.0
gill-color_u,0.0
cap-color_b,0.0
cap-surface_w,0.0
stem-root_s,0.0
stem-surface_f,0.0
stem-surface_h,0.0
stem-color_f,0.0
ring-type_e,0.0
stem-color_g,0.0
stem-color_p,0.0
cap-shape_p,0.0
veil-color_e,0.0
veil-color_k,0.0
veil-color_u,0.0
veil-color_w,0.0
veil-color_y,0.0
has-ring_t,0.0
stem-root_f,0.0
