feature,importance
stem-width,0.10797417689516084
stem-height,0.07343357471815454
cap-diameter,0.07198586164403274
stem-color_w,0.04181087332656973
gill-color_w,0.027410125137550194
gill-spacing_c,0.02579630987390875
gill-spacing_d,0.02575216613683072
gill-attachment_p,0.025052630195669313
cap-surface_t,0.020121229239154423
gill-attachment_d,0.019956585894231188
cap-shape_x,0.019806292342807084
gill-attachment_a,0.018908914447642155
gill-attachment_x,0.018037759041256877
cap-surface_s,0.01798969344229134
cap-shape_b,0.017538202890855357
cap-surface_g,0.01672991469411705
has-ring_t,0.01530586460552127
stem-color_n,0.01512061457976709
cap-color_n,0.01499432448873764
gill-attachment_e,0.014854523136056294
gill-color_y,0.01483043626052124
ring-type_z,0.01460136817207895
gill-attachment_s,0.01458919908789116
has-ring_f,0.014529110129831688
stem-color_y,0.013145996751643114
gill-color_n,0.013044465810000419
cap-surface_y,0.012677380905563728
cap-shape_f,0.01229102621685074
gill-color_p,0.012252202042025134
cap-color_e,0.011825728162534587
cap-surface_d,0.011713151635593125
cap-surface_k,0.011071689345212816
cap-color_r,0.01070244610508972
cap-surface_h,0.010266876050954023
cap-shape_c,0.009906762125351028
cap-color_y,0.009670120139194617
cap-color_w,0.00945861545747908
ring-type_f,0.009403803313085404
cap-surface_e,0.00848657024770361
stem-color_g,0.008399224873366662
gill-color_o,0.00834899201381156
cap-surface_i,0.008200322847608412
cap-color_g,0.008010263177683052
cap-shape_o,0.007331735027296209
gill-color_g,0.007321541854294014
cap-shape_s,0.0071629227755875165
cap-color_o,0.006420563121612623
gill-attachment_f,0.005771234796869135
cap-surface_l,0.005068716388179911
gill-color_r,0.005067366583696358
gill-spacing_f,0.005048835263563354
cap-surface_w,0.0050118533088423485
ring-type_p,0.004530803836572057
gill-color_f,0.00449349078605402
stem-color_o,0.0044333103673868555
stem-color_e,0.004430729940098867
ring-type_r,0.004407563170497252
ring-type_e,0.004172200129977675
cap-shape_p,0.004137443807271553
cap-color_b,0.004115082367215323
cap-color_p,0.004018961233790277
gill-color_k,0.004000738906498636
stem-color_u,0.00391964150723933
stem-color_p,0.0038820437319791734
gill-color_e,0.0036690031280660674
cap-color_u,0.003597695431239772
ring-type_l,0.0032894495374966707
ring-type_g,0.0028032301779460328
stem-color_f,0.002471217630034511
cap-color_k,0.002186782053040966
gill-color_u,0.002130047265983004
gill-color_b,0.0017082834543700803
stem-color_k,0.0016984292899365342
stem-color_r,0.0014946711203606632
cap-color_l,0.0014290926563051815
ring-type_m,0.0011549052497848338
stem-color_l,0.00081814918920896
stem-color_b,0.0007968773103158294
