feature,importance
gill-spacing_d,0.059450965
cap-color_g,0.031585563
cap-shape_c,0.030242033
cap-surface_l,0.029818641
stem-color_u,0.026439194
ring-type_z,0.025863998
cap-surface_g,0.024779214
cap-color_e,0.024461305
gill-color_w,0.023996329
stem-color_g,0.023959503
cap-color_r,0.023859205
stem-color_w,0.023255313
gill-color_y,0.022936858
gill-spacing_c,0.022082442
stem-color_o,0.02202256
cap-shape_o,0.021638589
cap-shape_p,0.021480838
ring-type_r,0.021163026
cap-surface_i,0.017823026
stem-height,0.017797032
cap-shape_b,0.017622864
stem-width,0.016713098
has-ring_f,0.015630484
cap-color_w,0.014917672
gill-attachment_s,0.014659144
gill-color_o,0.014616614
gill-attachment_d,0.014579906
cap-surface_e,0.014391221
gill-attachment_p,0.014286931
cap-surface_k,0.014048438
ring-type_e,0.013833073
gill-color_n,0.013651863
cap-surface_t,0.013438192
stem-color_p,0.01303928
cap-surface_s,0.012983665
gill-attachment_f,0.012677809
gill-attachment_e,0.011929454
gill-color_p,0.011535235
ring-type_f,0.011305436
cap-diameter,0.010028304
cap-surface_d,0.010005936
gill-attachment_a,0.009984965
ring-type_g,0.009927924
gill-color_g,0.009690879
cap-shape_x,0.009653089
gill-attachment_x,0.009529784
cap-shape_s,0.009286878
cap-shape_f,0.009167825
cap-color_n,0.009000424
cap-surface_h,0.008820214
ring-type_p,0.00846699
cap-surface_w,0.008419821
cap-color_y,0.0083671
stem-color_e,0.008364103
cap-color_o,0.007698485
ring-type_l,0.0074012973
cap-color_l,0.0073722173
cap-surface_y,0.0072636497
gill-color_r,0.0071686627
stem-color_r,0.0058426484
stem-color_n,0.0058256593
stem-color_y,0.0054814694
cap-color_b,0.0051621622
gill-color_e,0.0043833116
cap-color_u,0.0043721898
stem-color_b,0.0031740803
stem-color_k,0.0030677
ring-type_m,0.002472996
cap-color_p,0.0023586524
stem-color_l,0.0017245626
gill-color_k,0.0
has-ring_t,0.0
gill-color_b,0.0
cap-color_k,0.0
gill-spacing_f,0.0
stem-color_f,0.0
gill-color_u,0.0
gill-color_f,0.0
